divipola,mpio_cnmbr_decreto,dpto_cnmbr,pdet_subregion
19050,Argelia,Cauca,Alto Patía y Norte del Cauca
19075,Balboa,Cauca,Alto Patía y Norte del Cauca
19110,Buenos Aires,Cauca,Alto Patía y Norte del Cauca
19130,Cajibío,Cauca,Alto Patía y Norte del Cauca
19137,Caldono,Cauca,Alto Patía y Norte del Cauca
19142,Caloto,Cauca,Alto Patía y Norte del Cauca
19212,Corinto,Cauca,Alto Patía y Norte del Cauca
19256,El Tambo,Cauca,Alto Patía y Norte del Cauca
19364,Jambaló,Cauca,Alto Patía y Norte del Cauca
19450,Mercaderes,Cauca,Alto Patía y Norte del Cauca
19455,Miranda,Cauca,Alto Patía y Norte del Cauca
19473,Morales,Cauca,Alto Patía y Norte del Cauca
19532,Patía,Cauca,Alto Patía y Norte del Cauca
19548,Piendamó,Cauca,Alto Patía y Norte del Cauca
19698,Santander de Quilichao,Cauca,Alto Patía y Norte del Cauca
19780,Suárez,Cauca,Alto Patía y Norte del Cauca
19821,Toribio,Cauca,Alto Patía y Norte del Cauca
52233,Cumbitara,Nariño,Alto Patía y Norte del Cauca
52256,El Rosario,Nariño,Alto Patía y Norte del Cauca
52405,Leiva,Nariño,Alto Patía y Norte del Cauca
52418,Los Andes,Nariño,Alto Patía y Norte del Cauca
52540,Policarpa,Nariño,Alto Patía y Norte del Cauca
76275,Florida,Valle del Cauca,Alto Patía y Norte del Cauca
76563,Pradera,Valle del Cauca,Alto Patía y Norte del Cauca
81065,Arauquita,Arauca,Arauca
81300,Fortul,Arauca,Arauca
81736,Saravena,Arauca,Arauca
81794,Tame,Arauca,Arauca
05031,Amalfi,Antioquia,Bajo Cauca y Nordeste Antioqueño
05040,Anorí,Antioquia,Bajo Cauca y Nordeste Antioqueño
05107,Briceño,Antioquia,Bajo Cauca y Nordeste Antioqueño
05120,Cáceres,Antioquia,Bajo Cauca y Nordeste Antioqueño
05154,Caucasia,Antioquia,Bajo Cauca y Nordeste Antioqueño
05250,El Bagre,Antioquia,Bajo Cauca y Nordeste Antioqueño
05361,Ituango,Antioquia,Bajo Cauca y Nordeste Antioqueño
05495,Nechí,Antioquia,Bajo Cauca y Nordeste Antioqueño
05604,Remedios,Antioquia,Bajo Cauca y Nordeste Antioqueño
05736,Segovia,Antioquia,Bajo Cauca y Nordeste Antioqueño
05790,Tarazá,Antioquia,Bajo Cauca y Nordeste Antioqueño
05854,Valdivia,Antioquia,Bajo Cauca y Nordeste Antioqueño
05895,Zaragoza,Antioquia,Bajo Cauca y Nordeste Antioqueño
54206,Convención,Norte de Santander,Catatumbo
54245,El Carmen,Norte de Santander,Catatumbo
54250,El Tarra,Norte de Santander,Catatumbo
54344,Hacarí,Norte de Santander,Catatumbo
54670,San Calixto,Norte de Santander,Catatumbo
54720,Sardinata,Norte de Santander,Catatumbo
54800,Teorama,Norte de Santander,Catatumbo
54810,Tibú,Norte de Santander,Catatumbo
05475,Murindó,Antioquia,Chocó
05873,Vigía del Fuerte,Antioquia,Chocó
27006,Acandí,Chocó,Chocó
27099,Bojaya,Chocó,Chocó
27150,Carmen del Darien,Chocó,Chocó
27205,Condoto,Chocó,Chocó
27250,El Litoral del San Juan,Chocó,Chocó
27361,Istmina,Chocó,Chocó
27425,Medio Atrato,Chocó,Chocó
27450,Medio San Juan,Chocó,Chocó
27491,Nóvita,Chocó,Chocó
27615,Riosucio,Chocó,Chocó
27745,Sipí,Chocó,Chocó
27800,Unguía,Chocó,Chocó
18029,Albania,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18094,Belén de los Andaquíes,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18150,Cartagena del Chairá,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18205,Curillo,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18247,El Doncello,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18256,El Paujil,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18001,Florencia,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18410,La Montañita,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18460,Milán,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18479,Morelia,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18592,Puerto Rico,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18610,San José del Fragua,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18753,San Vicente del Caguán,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18756,Solano,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18785,Solita,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
18860,Valparaíso,Caquetá,Cuenca del Caguán y Piedemonte Caqueteño
41020,Algeciras,Huila,Cuenca del Caguán y Piedemonte Caqueteño
95015,Calamar,Guaviare,Macarena - Guaviare
95025,El Retorno,Guaviare,Macarena - Guaviare
95200,Miraflores,Guaviare,Macarena - Guaviare
95001,San José del Guaviare,Guaviare,Macarena - Guaviare
50350,La Macarena,Meta,Macarena - Guaviare
50325,Mapiripán,Meta,Macarena - Guaviare
50330,Mesetas,Meta,Macarena - Guaviare
50450,Puerto Concordia,Meta,Macarena - Guaviare
50577,Puerto Lleras,Meta,Macarena - Guaviare
50590,Puerto Rico,Meta,Macarena - Guaviare
50370,Uribe,Meta,Macarena - Guaviare
50711,Vista Hermosa,Meta,Macarena - Guaviare
13212,Córdoba,Bolívar,Montes de María
13244,El Carmen de Bolívar,Bolívar,Montes de María
13248,El Guamo,Bolívar,Montes de María
13442,María la Baja,Bolívar,Montes de María
13654,San Jacinto,Bolívar,Montes de María
13657,San Juan Nepomuceno,Bolívar,Montes de María
13894,Zambrano,Bolívar,Montes de María
70230,Chalán,Sucre,Montes de María
70204,Coloso,Sucre,Montes de María
70418,Los Palmitos,Sucre,Montes de María
70473,Morroa,Sucre,Montes de María
70508,Ovejas,Sucre,Montes de María
70523,San Antonio de Palmito,Sucre,Montes de María
70713,San Onofre,Sucre,Montes de María
70823,Tolú Viejo,Sucre,Montes de María
19318,Guapi,Cauca,Pacífico Medio
19418,López,Cauca,Pacífico Medio
19809,Timbiquí,Cauca,Pacífico Medio
76109,Buenaventura,Valle del Cauca,Pacífico Medio
52079,Barbacoas,Nariño,Pacífico y Frontera Nariñense
52250,El Charco,Nariño,Pacífico y Frontera Nariñense
52520,Francisco Pizarro,Nariño,Pacífico y Frontera Nariñense
52390,La Tola,Nariño,Pacífico y Frontera Nariñense
52427,Magüi,Nariño,Pacífico y Frontera Nariñense
52473,Mosquera,Nariño,Pacífico y Frontera Nariñense
52490,Olaya Herrera,Nariño,Pacífico y Frontera Nariñense
52612,Ricaurte,Nariño,Pacífico y Frontera Nariñense
52621,Roberto Payán,Nariño,Pacífico y Frontera Nariñense
52835,San Andres de Tumaco,Nariño,Pacífico y Frontera Nariñense
52696,Santa Bárbara,Nariño,Pacífico y Frontera Nariñense
86573,Leguízamo,Putumayo,Putumayo
86001,Mocoa,Putumayo,Putumayo
86320,Orito,Putumayo,Putumayo
86568,Puerto Asís,Putumayo,Putumayo
86569,Puerto Caicedo,Putumayo,Putumayo
86571,Puerto Guzmán,Putumayo,Putumayo
86757,San Miguel,Putumayo,Putumayo
86865,Valle del Guamuez,Putumayo,Putumayo
86885,Villagarzón,Putumayo,Putumayo
20013,Agustín Codazzi,Cesar,Sierra Nevada - Perijá - Zona Bananera
20045,Becerril,Cesar,Sierra Nevada - Perijá - Zona Bananera
20400,La Jagua de Ibirico,Cesar,Sierra Nevada - Perijá - Zona Bananera
20621,La Paz,Cesar,Sierra Nevada - Perijá - Zona Bananera
20443,Manaure Balcón del Cesar,Cesar,Sierra Nevada - Perijá - Zona Bananera
20570,Pueblo Bello,Cesar,Sierra Nevada - Perijá - Zona Bananera
20750,San Diego,Cesar,Sierra Nevada - Perijá - Zona Bananera
20001,Valledupar,Cesar,Sierra Nevada - Perijá - Zona Bananera
44090,Dibulla,La Guajira,Sierra Nevada - Perijá - Zona Bananera
44279,Fonseca,La Guajira,Sierra Nevada - Perijá - Zona Bananera
44650,San Juan del Cesar,La Guajira,Sierra Nevada - Perijá - Zona Bananera
47053,Aracataca,Magdalena,Sierra Nevada - Perijá - Zona Bananera
47189,Ciénaga,Magdalena,Sierra Nevada - Perijá - Zona Bananera
47288,Fundación,Magdalena,Sierra Nevada - Perijá - Zona Bananera
47001,Santa Marta,Magdalena,Sierra Nevada - Perijá - Zona Bananera
05893,Yondó,Antioquia,Sur de Bolívar
13042,Arenal,Bolívar,Sur de Bolívar
13160,Cantagallo,Bolívar,Sur de Bolívar
13473,Morales,Bolívar,Sur de Bolívar
13670,San Pablo,Bolívar,Sur de Bolívar
13688,Santa Rosa del Sur,Bolívar,Sur de Bolívar
13744,Simití,Bolívar,Sur de Bolívar
23466,Montelíbano,Córdoba,Sur de Córdoba
23580,Puerto Libertador,Córdoba,Sur de Córdoba
23682,San Jose de Ure,Córdoba,Sur de Córdoba
23807,Tierralta,Córdoba,Sur de Córdoba
23855,Valencia,Córdoba,Sur de Córdoba
73067,Ataco,Tolima,Sur del Tolima
73168,Chaparral,Tolima,Sur del Tolima
73555,Planadas,Tolima,Sur del Tolima
73616,Rioblanco,Tolima,Sur del Tolima
05045,Apartadó,Antioquia,Urabá Antioqueño
05147,Carepa,Antioquia,Urabá Antioqueño
05172,Chigorodó,Antioquia,Urabá Antioqueño
05234,Dabeiba,Antioquia,Urabá Antioqueño
05480,Mutatá,Antioquia,Urabá Antioqueño
05490,Necoclí,Antioquia,Urabá Antioqueño
05665,San Pedro de Uraba,Antioquia,Urabá Antioqueño
05837,Turbo,Antioquia,Urabá Antioqueño
